circuit,year,date,median_race_duration
Adelaide Street Circuit,1985,1985-03-11,7283603.0
Adelaide Street Circuit,1986,1986-10-26,6862490.5
Adelaide Street Circuit,1987,1987-11-15,6810086.0
Adelaide Street Circuit,1988,1988-11-13,6836642.5
Adelaide Street Circuit,1989,1989-05-11,7250591.5
Adelaide Street Circuit,1990,1990-04-11,6621829.0
Adelaide Street Circuit,1991,1991-03-11,1527260.0
Adelaide Street Circuit,1992,1992-08-11,6415527.0
Adelaide Street Circuit,1993,1993-07-11,6216735.0
Adelaide Street Circuit,1994,1994-11-13,6498899.0
Adelaide Street Circuit,1995,1995-12-11,6555946.0
Albert Park Grand Prix Circuit,1996,1996-10-03,5707847.157894737
Albert Park Grand Prix Circuit,1997,1997-09-03,5550150.775510204
Albert Park Grand Prix Circuit,1998,1998-08-03,5651042.771929825
Albert Park Grand Prix Circuit,1999,1999-07-03,5818585.446428572
Albert Park Grand Prix Circuit,2000,2000-12-03,5750192.914285714
Albert Park Grand Prix Circuit,2001,2001-04-03,6071576.350877193
Albert Park Grand Prix Circuit,2002,2002-03-03,6089936.7272727275
Albert Park Grand Prix Circuit,2003,2003-09-03,5747660.0
Albert Park Grand Prix Circuit,2004,2004-07-03,5204499.5
Albert Park Grand Prix Circuit,2005,2005-06-03,5126017.178571429
Albert Park Grand Prix Circuit,2006,2006-02-04,5720730.5
Albert Park Grand Prix Circuit,2007,2007-03-18,5254708.421052632
Albert Park Grand Prix Circuit,2008,2008-03-16,5708213.5
Albert Park Grand Prix Circuit,2009,2009-03-29,5660219.0
Albert Park Grand Prix Circuit,2010,2010-03-28,5683850.0
Albert Park Grand Prix Circuit,2011,2011-03-27,5489439.50877193
Albert Park Grand Prix Circuit,2012,2012-03-18,5689023.0
Albert Park Grand Prix Circuit,2013,2013-03-17,5486592.0
Albert Park Grand Prix Circuit,2014,2014-03-16,5640723.0
Albert Park Grand Prix Circuit,2015,2015-03-15,5658815.7894736845
Albert Park Grand Prix Circuit,2016,2016-03-20,6570718.0
Albert Park Grand Prix Circuit,2017,2017-03-26,5208794.004807692
Albert Park Grand Prix Circuit,2018,2018-03-25,5405444.615384616
Albert Park Grand Prix Circuit,2019,2019-03-17,5225250.52631579
Albert Park Grand Prix Circuit,2022,2022-10-04,5345930.0
Albert Park Grand Prix Circuit,2023,2023-02-04,9160709.0
Albert Park Grand Prix Circuit,2024,2024-03-24,4918343.166666666
Autodromo Enzo e Dino Ferrari,1980,1980-09-14,5916450.0
Autodromo Enzo e Dino Ferrari,1981,1981-03-05,6706860.0
Autodromo Enzo e Dino Ferrari,1982,1982-04-25,5799253.0
Autodromo Enzo e Dino Ferrari,1983,1983-01-05,5896850.5
Autodromo Enzo e Dino Ferrari,1984,1984-06-05,5820387.0
Autodromo Enzo e Dino Ferrari,1985,1985-05-05,5675955.0
Autodromo Enzo e Dino Ferrari,1986,1986-04-27,5552230.5
Autodromo Enzo e Dino Ferrari,1987,1987-03-05,5517420.5
Autodromo Enzo e Dino Ferrari,1988,1988-01-05,5562431.0
Autodromo Enzo e Dino Ferrari,1989,1989-04-23,5231357.5
Autodromo Enzo e Dino Ferrari,1990,1990-05-13,5461718.0
Autodromo Enzo e Dino Ferrari,1991,1991-04-28,5715587.5
Autodromo Enzo e Dino Ferrari,1992,1992-05-17,5350144.5
Autodromo Enzo e Dino Ferrari,1993,1993-04-25,5616618.0
Autodromo Enzo e Dino Ferrari,1994,1994-01-05,5371452.5
Autodromo Enzo e Dino Ferrari,1995,1995-04-30,6133335.0
Autodromo Enzo e Dino Ferrari,1996,1996-05-05,5848464.078947369
Autodromo Enzo e Dino Ferrari,1997,1997-04-27,5583782.0
Autodromo Enzo e Dino Ferrari,1998,1998-04-26,5852459.815789474
Autodromo Enzo e Dino Ferrari,1999,1999-02-05,5752457.275862069
Autodromo Enzo e Dino Ferrari,2000,2000-09-04,5620718.75409836
Autodromo Enzo e Dino Ferrari,2001,2001-04-15,5588933.432864949
Autodromo Enzo e Dino Ferrari,2002,2002-04-14,5482412.0
Autodromo Enzo e Dino Ferrari,2003,2003-04-20,5401381.049180328
Autodromo Enzo e Dino Ferrari,2004,2004-04-25,5266201.737704918
Autodromo Enzo e Dino Ferrari,2005,2005-04-24,5345218.0
Autodromo Enzo e Dino Ferrari,2006,2006-04-23,5545249.0
Autodromo Enzo e Dino Ferrari,2020,2020-01-11,5332082.0
Autodromo Enzo e Dino Ferrari,2021,2021-04-18,7407416.0
Autodromo Enzo e Dino Ferrari,2022,2022-04-24,5614917.4677419355
Autodromo Enzo e Dino Ferrari,2024,2024-05-19,5229831.701612903
Autodromo Internazionale del Mugello,2020,2020-09-13,8393943.0
Autodromo Nazionale di Monza,1981,1981-09-13,5247484.0
Autodromo Nazionale di Monza,1982,1982-12-09,4976992.0
Autodromo Nazionale di Monza,1983,1983-11-09,5032231.5
Autodromo Nazionale di Monza,1984,1984-09-09,4841189.5
Autodromo Nazionale di Monza,1985,1985-08-09,4735463.5
Autodromo Nazionale di Monza,1986,1986-07-09,4679260.5
Autodromo Nazionale di Monza,1987,1987-06-09,4541214.5
Autodromo Nazionale di Monza,1988,1988-11-09,4704062.0
Autodromo Nazionale di Monza,1989,1989-10-09,4778700.5
Autodromo Nazionale di Monza,1990,1990-09-09,4685282.0
Autodromo Nazionale di Monza,1991,1991-08-09,4705410.0
Autodromo Nazionale di Monza,1992,1992-09-13,4719722.0
Autodromo Nazionale di Monza,1993,1993-12-09,4647515.0
Autodromo Nazionale di Monza,1994,1994-11-09,4708840.0
