constructor,constructor_nationality
Williams,GBR
Brabham,GBR
Fittipaldi,BRA
Tyrrell,GBR
Ligier,FRA
Renault,FRA
Team Lotus,GBR
McLaren,GBR
Arrows,GBR
Ferrari,ITA
Alfa Romeo,CHE
Ensign,GBR
Toleman,GBR
Benetton,ITA
March,GBR
Dallara,ITA
Onyx,GBR
Leyton House,GBR
Larrousse,FRA
Jordan,IRL
Minardi,ITA
Footwork,GBR
Forti,ITA
Prost,FRA
Stewart,GBR
BAR,GBR
Jaguar,GBR
Toyota,JPN
Red Bull,AUT
Honda,JPN
Alfa Romeo,DEU
AlphaTauri,ITA
MF1,RUS
Super Aguri,JPN
Spyker MF1,NLD
Spyker,NLD
Racing Point,IND
Brawn,GBR
Mercedes,DEU
Lotus,MYS
HRT,ESP
Virgin,GBR
Renault,GBR
Marussia,RUS
Caterham,MYS
Manor Marussia,GBR
Haas F1 Team,USA
Racing Point,GBR
